Pred_velo,Prey_velo,PredN,PreyN,Speed,Prey_vis,Pred_vis,Encounter,Enc_sd
0.0001,1.0e-6,100,25,100.00000000000001,0.0,0.5,131.7,6.1472667819844045
0.0001,1.0e-6,100,50,100.00000000000001,0.0,0.5,218.2,15.36084488417078
0.0001,1.0e-6,100,75,100.00000000000001,0.0,0.5,293.7,16.50622778091819
0.0001,1.0e-6,100,100,100.00000000000001,0.0,0.5,353.1,10.32203683603408
0.0001,1.0e-6,100,200,100.00000000000001,0.0,0.5,491.0,10.1762250149825
0.0001,1.0e-6,100,300,100.00000000000001,0.0,0.5,578.4,14.151560573543353
0.0001,1.0e-6,100,400,100.00000000000001,0.0,0.5,625.7,18.147849581822204
0.0001,1.0e-6,100,500,100.00000000000001,0.0,0.5,675.5,22.78035215804278
0.0001,1.0e-6,100,600,100.00000000000001,0.0,0.5,701.7,14.682188755995021
0.0001,1.0e-6,100,700,100.00000000000001,0.0,0.5,739.4,16.594510471170214
0.0001,1.0e-6,100,800,100.00000000000001,0.0,0.5,744.1,15.343836982102403
0.0001,1.0e-6,100,900,100.00000000000001,0.0,0.5,771.5,16.886878535320456
0.0001,1.0e-6,100,25,100.00000000000001,0.0001,0.5,125.0,7.52772652709081
0.0001,1.0e-6,100,50,100.00000000000001,0.0001,0.5,216.6,12.833982667555349
0.0001,1.0e-6,100,75,100.00000000000001,0.0001,0.5,288.6,15.791699648162567
0.0001,1.0e-6,100,100,100.00000000000001,0.0001,0.5,345.2,16.804761230080004
0.0001,1.0e-6,100,200,100.00000000000001,0.0001,0.5,487.2,16.691980775876246
0.0001,1.0e-6,100,300,100.00000000000001,0.0001,0.5,569.2,20.746083967823903
0.0001,1.0e-6,100,400,100.00000000000001,0.0001,0.5,624.4,16.84042754801671
0.0001,1.0e-6,100,500,100.00000000000001,0.0001,0.5,669.6,27.52453451014204
0.0001,1.0e-6,100,600,100.00000000000001,0.0001,0.5,698.7,16.533131719200824
0.0001,1.0e-6,100,700,100.00000000000001,0.0001,0.5,732.6,14.19076381939245
0.0001,1.0e-6,100,800,100.00000000000001,0.0001,0.5,756.2,16.382917933017914
0.0001,1.0e-6,100,900,100.00000000000001,0.0001,0.5,764.7,12.293177873203584
0.0001,1.0e-6,100,25,100.00000000000001,0.001,0.5,124.5,5.104464277037851
0.0001,1.0e-6,100,50,100.00000000000001,0.001,0.5,219.4,14.017449443065201
0.0001,1.0e-6,100,75,100.00000000000001,0.001,0.5,287.9,16.53581970551606
0.0001,1.0e-6,100,100,100.00000000000001,0.001,0.5,344.2,12.585706178041818
0.0001,1.0e-6,100,200,100.00000000000001,0.001,0.5,491.9,17.381024135533558
0.0001,1.0e-6,100,300,100.00000000000001,0.001,0.5,570.5,11.881357947081076
0.0001,1.0e-6,100,400,100.00000000000001,0.001,0.5,629.7,18.52355857340112
0.0001,1.0e-6,100,500,100.00000000000001,0.001,0.5,666.5,21.839057773732925
0.0001,1.0e-6,100,600,100.00000000000001,0.001,0.5,696.7,12.702143301208833
0.0001,1.0e-6,100,700,100.00000000000001,0.001,0.5,720.2,16.067911431725584
0.0001,1.0e-6,100,800,100.00000000000001,0.001,0.5,746.8,15.583467022599445
0.0001,1.0e-6,100,900,100.00000000000001,0.001,0.5,760.2,13.669105473455256
0.0001,1.0e-6,100,25,100.00000000000001,0.025,0.5,126.5,9.935905707192587
0.0001,1.0e-6,100,50,100.00000000000001,0.025,0.5,217.8,13.472605951007068
0.0001,1.0e-6,100,75,100.00000000000001,0.025,0.5,286.2,14.634813896246778
0.0001,1.0e-6,100,100,100.00000000000001,0.025,0.5,349.1,13.36205240389531
0.0001,1.0e-6,100,200,100.00000000000001,0.025,0.5,488.9,21.0684071011023
0.0001,1.0e-6,100,300,100.00000000000001,0.025,0.5,568.5,13.226656586017665
0.0001,1.0e-6,100,400,100.00000000000001,0.025,0.5,624.3,24.28099393901878
0.0001,1.0e-6,100,500,100.00000000000001,0.025,0.5,660.4,14.182931839205727
0.0001,1.0e-6,100,600,100.00000000000001,0.025,0.5,687.0,15.376750126227728
0.0001,1.0e-6,100,700,100.00000000000001,0.025,0.5,725.8,9.647106647418521
0.0001,1.0e-6,100,800,100.00000000000001,0.025,0.5,742.1,24.8705537623199
0.0001,1.0e-6,100,900,100.00000000000001,0.025,0.5,756.1,8.04777401935881
